topic_id	display_label	raw_name	keywords	representative_excerpt_1	representative_excerpt_2	representative_excerpt_3
43	Inflation and the parallel currency market	43_dollar_exchange_rate_inflation	['dollar', 'exchange', 'rate', 'inflation', 'currency', 'banks', 'banking', 'parallel', 'market', 'billion', 'bank', 'monetary']	During the trial period, complications emerged facing the actual application of global financial transfers, which prompted the Central Bank to organize a major workshop the day before yesterday, attended by general managers of banks, members of the boards of directors of banks, and representatives of financial and regional institutions, to discuss the treatments required in financial and monetary policies, and the challenges and opportunities facing banks.	The Central Bank carries out the largest deal to sell “shahama certificates” for one billion pounds A significant increase in the prices of medicines for diabetes, respiratory diseases, and malaria British companies begin investing in the electricity sector Excellent:	The next budget will meet the aspirations of citizens The Central Bank announces the readiness of the banking system for the post-lift phase
44	COVID-19 cases and public-health response	44_corona_cases_infections_suspected	['corona', 'cases', 'infections', 'suspected', 'virus', 'pandemic', 'deaths', 'health', 'recorded', 'infection', 'coronavirus', 'preventive']	He reported that the authorities isolated the patients in a school and specified specific foods for them to eat, which were rice and custard.	Here the monitoring and sorting of cases has ended.	The text of the law includes exceptions in cases of risk of infection, for example.
45	Drug seizures and narcotics control	45_drugs_drug_pills_seized	['drugs', 'drug', 'pills', 'seized', 'smuggling', 'combating', 'addiction', 'quantities', 'possession', 'police', 'shipment', 'administration']	Activating drug control and inspection campaigns	(Drugs are exported to our country so that our youth are off the grid) Al-Bashir meets the Sudanese student with the first Irish degree Current:	Ban on the sale of alcohol in the south for fear of destruction Follow the Sudan Network on Telegram. https://t.me/Sd_News_Network
46	Human trafficking and migrant smuggling	46_trafficking_human_smuggling_victims	['trafficking', 'human', 'smuggling', 'victims', 'gang', 'investigations', 'hostages', 'network', 'criminal', 'arrested', 'department', 'gangs']	A human trafficking network that used the Sudanese border as a crossing point Political microscope:	The Rapid Support Forces arrest seven of the largest leaders of armed gangs working in human trafficking and smuggling. # Sudan_News_Network https://t.me/Sd_News_Network The Rapid Support Forces clashed on the Sudanese-Egyptian-Libyan border with the largest armed gangs working in human trafficking and illegal immigration. Lieutenant Colonel Hassan Muhammad Abdullah, the field commander at the border, said in a statement to SUNA that the Rapid Support Forces, within the framework of combating trafficking and human smuggling, today managed to arrest 41 illegal immigrants of different nationalities on the Sudanese-Egyptian-Libyan border on their way to the state of Libya, and seven were arrested. One of the largest gang leaders involved in human trafficking and smuggling, and seventeen gang members were killed. The Rapid Support Forces also seized six fully armed vehicles, ten Thuraya devices, and a ZY vehicle.	Ten people were arrested from the Comoros, eight from Somalia, three from Bangladesh, 11 from Syria, and 16 from Ethiopia.
47		47_waiting_answer_zero_think	['waiting', 'answer', 'zero', 'think', 'happened', '2013', 'hour', 'ask', 'mean', 'clarify', 'know', 'understand']	So how can they reconcile the two?!	Will you go with us?” “ Is everything good?”	We do not want to open doors that are difficult to close.
48	African Union, IGAD and continental diplomacy	48_african_union_continent_membership	['african', 'union', 'continent', 'membership', 'president', 'summit', 'sudans', 'igad', 'sovereignty', 'representative', 'africa', 'commission']	A ministerial delegation from IGAD to Juba and (the press) obtains the details of the initiative The President will visit Russia in mid-August Ghandour meets his Zambian counterpart Sudan’s nomination to the Board of Directors of the International Atomic Energy Organization for Africa Today's news:	Professor Ibrahim Ahmed Omar stresses in his speech before the meeting of African parliamentarians the importance of peoples’ participation in setting development policies.	The President of the Republic opens the Soba Bridge amid a large crowd Prime Minister of Central Africa:
49		49_god_bless_messenger_grant	['god', 'bless', 'messenger', 'grant', 'prophet', 'almighty', 'lord', 'blessings', 'peace', 'allah', 'oh', 'prayer']	How can a Muslim who reads the Book of God kill a soul without sin?	He said to the Sons of Tawbah: “Anyone in the movement who wants to come back should contact me.”	May God have mercy on “Mustafa” and place him in the highest heaven and grant his family patience and solace.
50		50_follow_httpstmesudaaan_channel_whatsapp	['follow', 'httpstmesudaaan', 'channel', 'whatsapp', 'telegram', 'httpswhatsappcomchannel0029vapgy3o7dmecjcizwq2x', 'reliable', 'coverage', 'httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnnpxuj5a1x', 'challengesofthetransitionalperiod', 'sudan', 'news']	Sudan Tribune Follow the Sudan Network on Telegram. https://t.me/Sd_News_Network	Sudan Tribune Follow the Sudan Network on Telegram. https://t.me/Sd_News_Network	Sudan_News_Network on Telegram https://t.me/Sd_News_Network
51	Electricity, power supply and outages	51_electricity_station_energy_electrical	['electricity', 'station', 'energy', 'electrical', 'power', 'maintenance', 'outages', 'generation', 'stations', 'company', 'water', 'supply']	The consumer will not bear the 1.5 pounds for the meter reading service In new legislation commissioned by the Minister of Justice: New categories subject to the “Illegal Gain” Law British time:	Work will begin soon, God willing, announcing the start of work on two power stations and the Mellit network, indicating a number of proactive works that precede the implementation of these projects.	The flood is behind the decline in electrical generation Dolphin:
52	Displacement shelters and living conditions	52_displaced_shelter_food_conditions	['displaced', 'shelter', 'food', 'conditions', 'harsh', 'families', 'lack', 'elderly', 'cold', 'suffering', 'return', 'children']	"He continued, ""We have pledged with them to secure their places of return, and basic services will be delivered to their places."""	The head of the Displaced Persons and Refugees Authority explained that the state government presented three options for the displaced to end the displacement camps, which are either voluntary return to their original areas after providing security and necessary services, integrating the displaced into cities, or planning the camps into residential plans for the displaced to stay in them.	"The affected families are now living in the open air, without shelter or cover, in a cold climate."""
53	Oil, fuel and refineries	53_refinery_fuel_oil_energy	['refinery', 'fuel', 'oil', 'energy', 'gasoline', 'gas', 'petroleum', 'prices', 'stations', 'employees', 'pumping', 'company']	Pumping new investments into the arteries of the economy: two billion pounds in the petroleum sector and $150 million in agriculture Prime Minister: Moving government institutions to the Administrative Capital next year.. “Zohr” field produces 500 million feet of gas and reduces imports by 4 shipments Undersecretary for Legal Affairs at the Ministry of Interior told Al-Ahram:	Tomorrow, the oil and gas conference will begin in the capital.” Juba, and will discuss, with the participation of many companies and investors, how to strengthen new partnerships in the field of oil in the country.”	Minister of Oil and Gas:
54		54_headlines_army_news_alburhan	['headlines', 'army', 'news', 'alburhan', 'newspaper', 'issued', 'ad', 'truce', 'electronic', 'alsudani', 'political', 'prominent']	The Sudanese Congress accuses members of the security services of being involved in a plot to overthrow the revolution Nile International newspaper: - Israel: The signing ceremony for normalization with Sudan in Washington within three months - Ethiopia to the Sudanese army: We do not want any conflicts - Wajdi: What the remnants of the former regime are doing will not deter the committee from its work - The pound continues to decline, and the dollar records 330 pounds - Sudan is discussing with Saudi Arabia its border crisis with Ethiopia Armed Forces newspaper: - Coexistence: Sudan will remain keen on a peaceful solution to the border issue with Ethiopia The Minister of Defense and Matouk discuss the ceasefire mechanism in Darfur and the two regions - The Chief of Staff inaugurates a number of strategic projects on the eastern border The Armed Forces confirm their support and assistance to the media and facilitate their tasks Sodamedia News electronic newspaper: - The armed forces deny restricting the movement of journalists to Darfur. -	Sodamedia News electronic newspaper: The Security and Defense Council reviews the security situation and Sudan’s foreign relations.	A day on Eid (2-2)... with the governor of Khartoum by Al-Jazli and Salem Al-Watan newspaper: - The number of victims of the conflict in the Blue Nile has increased, and the Security and Defense Council takes urgent decisions - Sending military reinforcements from the center and directing the formation of an investigation committee – Warning of the deteriorating health situation in Khartoum - Wajdi Saleh: The de facto authority bears responsibility for the violence _ Advertised: A contract (delivery driver) is available in Saudi Arabia.
55		55_damazin_abdul_al_hassan	['damazin', 'abdul', 'al', 'hassan', 'muhammad', 'writes', 'albilal', 'hamid', 'ali', 'ahmed', 'altayeb', 'ibrahim']	Because Ghandour did not present it to him personally.”	Dear Matrouk...Nahed Qarnas..Good morning.	Dr. Omar Al-Jazli writes (from the other): In memory of my late resident friend... Professor Ibrahim Awad.
56	Telecommunications, internet and Starlink	56_networks_starlink_communication_devices	['networks', 'starlink', 'communication', 'devices', 'internet', 'telecommunications', 'communications', 'interruption', 'operational', 'accounts', 'followers', 'phone']	2 million unregistered SIM cards Shout:	Our patience has limits Introducing deterrent penalties to confront social media Attention:	Localities impose impossible conditions to prevent the establishment of communications towers Political microscope:
57		57_ad_todays_news_headlines	['ad', 'todays', 'news', 'headlines', '2024', '2025', 'bulletin', '2017', 'saturday', 'issued', 'wednesday', 'important']	Newspaper headlines issued on Friday, June 9, 2017 Monitoring and preparation:	Newspaper headlines issued on Saturday, June 24, 2017 Monitoring and preparation:	Newspaper headlines published on Wednesday, June 28, 2017.
58	Government appointments and ministries	58_ministries_khartoum_appointment_kamel	['ministries', 'khartoum', 'appointment', 'kamel', 'governor', 'idris', 'controversy', 'ministers', 'tijani', 'headquarters', 'service', 'explaining']	The President of the Republic praised the state government and all the former governors who built bridges and tunnels, unlike other states in which the federal government is building bridges, stressing the necessity of the center’s support for Khartoum State so that it can complete its development projects.	Al-Bashir touched on the suffering of the citizens of Khartoum before the establishment of the bridge and road network, and that there are areas close to the center that were cut off during the fall season.	Residents of the neighborhoods in Omdurman hold the governor of Khartoum responsible for their lives Deported Minister of Justice:
59	Customs, borders and goods smuggling	59_customs_goods_smuggling_luggage	['customs', 'goods', 'smuggling', 'luggage', 'crossings', 'dogs', 'exempt', 'smuggle', 'personal', 'duties', 'electrical', 'fees']	controls to regulate the movement of border trade Political microscope:	Costi - Rabak - Renk”, which allowed the entry of 54 goods into the southern state.	Head of Customs: We provide preferential benefits for expatriates and are preparing to provide more #Sudan_News_Network on Telegram https://t.me/Sd_News_Network ​ The head of the Customs Authority announced preferential benefits that Customs continued to grant to expatriates according to special treatment, granting them a complete exemption for home furnishings if the expatriate spent two years in residence, in addition to excluding them from bringing in cars older than 5 years for the “model.” This is an advantage not available to non-expatriates, stressing that Customs has no objection to sitting with The Expatriates Authority to prepare a memorandum to be submitted to the country’s leadership in which it takes into account expatriates and provides them with better benefits.
60	Budget, taxation and public finance	60_budget_finance_spending_taxes	['budget', 'finance', 'spending', 'taxes', 'economic', 'revenues', 'economy', 'citizen', 'treasury', 'ministry', 'money', 'ministers']	After the expulsion of the Minister of Finance:	One thousand young people own the means of production Parliamentary Committee:	4 parliamentary ministers were summoned due to the bread crisis Parliament:
61		61_join_scene_httpstmesdnewsnetwork_link	['join', 'scene', 'httpstmesdnewsnetwork', 'link', 'telegram', 'sudanese', '', '', '', '', '', '']	ــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ _Join the Sudanese scene on Telegram via the link​ https://t.me/Sd_News_Network	ــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ _Join the Sudanese scene on Telegram via the link​ https://t.me/Sd_News_Network	ــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ _Join the Sudanese scene on Telegram via the link​ https://t.me/Sd_News_Network
62		62_headlines_newspapers_newspaper_2022	['headlines', 'newspapers', 'newspaper', '2022', 'ad', 'morning', 'prominent', '2017', 'issued', 'published', 'hammam', 'shafiq']	📡 *Sudan News Network SNN* _*(Eye on the truth)*_ Newspaper headlines issued on Thursday, May 18, 2017 Khartoum newspapers:	Akhir Lahza newspaper* 🌐 *Sudan News Network* 🔸 *For more news, follow us on Facebook* 👇🏼👇🏼👇🏼 https://www.facebook.com/SudanNewsNetwork/ *And on the Telegram website.* https://t.me/Sd_News_Network	📡 *Sudan News Network SNN* _*(Eye on the truth)*_ Newspaper headlines published on Friday, May 19, 2017 Monitoring and preparation: Magdy Shafiq Ahmed Hammam Sudan University of Science and Technology Today's news:
63		63_god_oh_protect_mighty	['god', 'oh', 'protect', 'mighty', 'victory', 'blessings', 'grant', 'mercy', 'hired', 'traitors', 'homeland', 'ask']	Greetings and respect to the heroic Sudanese people Praise be to God who honored me to serve the people of Sudan, a people whose blood and sacrifices cost me the blood and sacrifices of its martyrs, male and female missing persons, rapists, detainees, displaced persons, injured, rebels, and revolutionaries, in order to fulfill and preserve their absolute right to health, peace, and decent living.	D. Gabriel Ibrahim: We did not come to count the graves, we came to serve the living.	May God protect you and protect the homeland from the filth of agents, mercenaries, hired hands, and traitors to the homeland.... Oh God, we ask you in your great name, by which if you ask, you answer, and if you pray, you give... to grant victory to the Sudanese Armed Forces over the rebel Rapid Support Militia, a mighty and sustained victory. O God, repel their attacks, annihilate their enemies, make their feet firm, bind their hearts, and hasten their victory. Oh God, protect our people from the east to the west of the earth Oh God, protect our people on #Al-Jazeera and all regions under the rapid fire of looting, and be their help and supporter. Oh God, protect them in their homes...and protect their elders, women, and children from the evils of these killers.
64		64_father_love_sudanese_battle	['father', 'love', 'sudanese', 'battle', 'history', 'humiliate', 'drink', 'like', 'gave', 'pride', 'truth', 'chad']	My brother and I are “innocent” of the blood of any Sudanese Minawi:	The lie did not convince the youngest Sudanese child who knew by nature who the “remnants” were, and you were one of them, by birth, breastfeeding, and lowliness.	It is the trustworthiness of the wolf who demands that we entrust him with the resting places of the sheep, and the people of Darfur are too smart to be deceived by the youngest of the demented Dagalo boys.
65	Hospitals, doctors and medical services	65_health_hospital_doctors_medical	['health', 'hospital', 'doctors', 'medical', 'surgery', 'center', 'personnel', 'hospitals', 'machines', 'strike', 'heart', 'preparing']	25% of hospital funds were wasted due to lack of training Last minute:	Especially after a voluntary return commission was established, adding that Mellit Hospital will be rehabilitated and maintained in the next stage through the Ministry of Health.	The Ministry will continue to implement the policy of free treatment for a number of poor diseases, including the treatment of cancer patients.
66	UN Security Council, sanctions and missions	66_sanctions_security_council_united	['sanctions', 'security', 'council', 'united', 'nations', 'mission', 'envoy', 'representative', 'session', 'resolution', 'imposed', 'sudan']	We were not asked to establish an American military base in Sudan I cannot determine who will be my successor at the National Conference UN Security Council:	The second stage of weapons collection is compulsory and no one will be excluded Sudan and Qatar hold their ministerial meetings UN officials are pushing to lift sanctions on Sudan Sudan appeals to the international community to support the arms collection campaign Homeland: Sudan decides to send aid to the Rohingya Muslims via Bangladesh Opponents led by Amin Mekki deliver a memorandum to Congress demanding that the sanctions not be lifted Minister of Endowments:	Next week, the Security Council will discuss reducing the UNAMID mission to 44%.
67	Weather forecasts and temperatures	67_weather_moderate_temperatures_meteorology	['weather', 'moderate', 'temperatures', 'meteorology', 'hot', 'willing', 'facebook', 'expected', 'rain', 'cold', 'temperature', 'night']	I recovered in Russia without surgery Meteorology expects a drop in temperatures, dust and rain during the next two days Public opinion:	Do not tolerate saboteurs and weak-minded people Meteorology rules out that Sudan will be affected by the tropical storm The trend:	Rainy weather and heavy clouds over parts of the Kingdom Al Jazeera Saudi Arabia:
68	Justice, democracy and political marginalisation	68_injustice_revolution_freedom_regime	['injustice', 'revolution', 'freedom', 'regime', 'democracy', 'democratic', 'political', 'marginalization', 'revolutions', 'justice', 'power', 'achieve']	The Loyal Sons of Sudan Initiative.. Sudanese who hold regional and international positions.. What is their role, and what is the benefit that the nation reaps from their positions, and is there a supervising or follow-up body with them to benefit from their experiences and positions.. And the homelands have in the blood of every free person a free hand and a due debt. #	Let me launch the initiative of the loyal sons of Sudan in regional and international positions...a vision for the sake of serving the homeland...and for the homelands in the blood of every free person, a hand given and a debt owed.	We hope that we will not have to enter into confrontations with the military junta We formed a joint security committee to control the sit-in square, but we did not see its activation by the Council We do not know the details of the foreign visits of members of the Military Council, except for what is mentioned in the media Our revolution is supported by the Sudanese people only and not by regional countries or the international community Al-Bashir's regime is the one that brought us into the policy of axes, and we reject external interference in our affairs Our priority is to stop the war, enter into the process of democratic transformation, and address the economic burdens We are preparing for a massive Eid prayer in the sit-in square in Khartoum and in most states We are making preparations for a massive Eid prayer in the sit-in square in Khartoum and in most states There is no mediation between us and the military council, and our dialogue with it was conducted directly We welcome every regional and international decision that is in the interest of democratic transformation and handing over power to civilians Follow the latest Sudan news on Telegram via the link​. https://t.me/Sd_News_Network
69		69_suna_agency_news_sudan	['suna', 'agency', 'news', 'sudan', 'sama', 'sona', 'condition', 'summary', 'addresses', 'delivery', '2020', 'todays']	Country News - Sunday, March 8, 2020 AD - News headlines The best news summary to start your day sama news 🔵 Sudan News Agency “SUNA” - Al-Burhan:	📌 The condition of delivery is in Port Sudan e 📰 Today's news:	🇸🇩 #state_news_headlines 📌 Sudan News Agency “SUNA”:
70	Passports and civil-registration services	70_passports_immigration_passport_administration	['passports', 'immigration', 'passport', 'administration', 'registry', 'general', 'police', 'electronic', 'procedures', 'hijri', 'interior', 'services']	The Ministry of Interior makes an amendment to the Passports and Immigration Regulations of 1994.	The Director General of Police directs a review of the nationalities granted to foreigners.	40% increase in travel tickets Civil Registry: We delivered 9,000 passports to the public within three days Sandal:
71	Journalists, media and press freedom	71_journalists_media_female_press	['journalists', 'media', 'female', 'press', 'syndicate', 'journalist', 'professional', 'professionals', 'journalism', 'facts', 'war', 'union']	The General Union of Sudanese Journalists condemns the Egyptian authorities’ arrest of Rehab Taha #Sudan_News_Network https://t.me/Sd_News_Network Khartoum, October 7, 2017 The Egyptian authorities arrested at Cairo Airport this morning our colleague Rehab Taha Mohamed Ahmed, editor-in-chief of Al-Wefaq newspaper and a member of the forty-year council of the Sudanese Journalists Union, and took him to an unknown destination. The Union of Journalists denounces the action taken by the Egyptian authorities and denounces in the strongest terms the harsh measures, deportations, and interrogations to which a number of Sudanese journalists continued to be subjected at Cairo Airport, which are not commensurate with the nature of the fraternal relations and common history that binds the two countries.	The General Union of Sudanese Journalists rejects what happened and confirms that the Egyptian authorities arrested Rehab while he was accompanying his sick son on a visit that was necessitated by special reasons and unrelated to any professional activity or work that Rehab intends to do in Cairo. The Federation notes that it has communicated with the competent authorities inside Sudan and its embassy in Cairo to take urgent action to put an end to Rehab’s arrest first and to the harsh treatment that Sudanese journalists continued to face at Cairo Airport. The Federation also informed the International Federation of Journalists and the Federation of Arab Journalists of what the Egyptian authorities had done and appealed to all parties. We take urgent action to release Rehab.	The Kingdom...a continuous commitment to promoting and protecting human rights Yemeni media professionals:
72	International criminal courts and genocide cases	72_court_criminal_genocide_crimes	['court', 'criminal', 'genocide', 'crimes', 'justice', 'international', 'request', 'prosecutor', 'complaint', 'uae', 'humanity', 'lawsuit']	The American court’s decision targets Sudan and is inconsistent with justice The African Union confirms its position in support of the complete lifting of sanctions on Sudan A new Sudanese-Turkish agreement in the agricultural field Next day:	Sudanese officials accused some foreign media of conveying an unrealistic picture about the military conflict between government forces and rebels in the western states of Darfur. The International Criminal Court in The Hague had issued two arrest warrants against Sudanese President Omar al-Bashir in 2009, accusing him of committing crimes against humanity in the forms of genocide, forced displacement, and rape crimes. Sudanese officials strongly denied these accusations and accused the court of politicizing the cases. They also repeatedly stressed that Sudan Location of the Rome Convention, under which the International Criminal Court was established. #	Scenario of the UAE’s trial before international justice The UAE committed crimes of discrimination against Qataris The UAE led the destructive measures Qatar appreciates the positions of the High Commissioner regarding the repercussions of the blockade Egyptian pyramids:
73	Sudan–Egypt relations	73_egyptian_egypt_egypts_foreign	['egyptian', 'egypt', 'egypts', 'foreign', 'brotherly', 'president', 'cairo', 'regional', 'relations', 'sovereignty', 'external', 'stability']	"Egyptian President: I refuse to undermine our strategic relations with Sudan Al-Bashir leaves today for Riyadh to participate in the Islamic-American Summit The American military attaché discusses in the Blue Nile the commitment to stop hostilities ""Ghandour"" is holding discussions with the High Commissioner for Refugees Next day: Assistant to the President: Armed movements threaten regional security America renews its call to arms bearers to join the dialogue Hassabou: Relations with Chad are developing steadily Mubarak Al-Fadil: Sudan supports the “good intentions” of the World Bank Sudanese: Al-Bashir denies the presence of an American base in Sudan The Egyptian President: Our relationship with Sudan goes beyond strategy to the stage of one destiny Al-Bashir: The Government of National Accord is the largest in the world Ella: We will fight the black market and high prices Public opinion:"	"It was not possible to obtain an immediate response from the Egyptian authorities regarding these statements by Al-Bashir, but Cairo always emphasizes the historical ties and close relations between Egypt and Sudan. Al-Bashir explained, in his speech at a celebration for veterans at the headquarters of the Sudanese Ministry of Defense in Khartoum, that “the armed forces received unfortunately Egyptian vehicles and armored vehicles.” He added: ""The Egyptians we fought with since 1967, and we continued to fight (against the rebels) for 20 years, and they did not support us with a shot, and the ammunition we bought from them was spoilt."""	There are no gains from destabilizing Sudan Sudan declares its solidarity with Egypt Independent:
74		74_dont_come_didnt_personally	['dont', 'come', 'didnt', 'personally', 'play', 'did', 'silent', 'tonight', 'left', 'fact', 'satisfied', 'waiting']	Because they don't care about anything.	and continued, “There is no one there.”	saying, “We advised him, but he did not understand the advice.”
75		75_speedy_recovery_martyrs_mercy	['speedy', 'recovery', 'martyrs', 'mercy', 'wounded', 'righteous', 'missing', 'forgiveness', 'eternity', 'injured', 'ask', 'prayers']	I have seen it since the year 55 fighting, defending, and offering martyr after martyr.	May God save him with his body so that he might be a sign for those who succeeded him, after his soldiers fled, leaving his body in the open.	Our prayers for heaven and eternity to our glorious martyrs and speedy recovery to those injured.
76	Military equipment, armoured vehicles and ammunition	76_vehicles_armored_equipment_combat	['vehicles', 'armored', 'equipment', 'combat', 'losses', 'enemy', 'heavy', 'ammunition', 'tanks', 'inflicting', 'clearance', 'destroying']	For a whole year, he completed huge operations of modernization, training, and bringing in ground, sea, and air equipment. While doing this, he remained patient in his positions and provided some of them with food and drink via airdrops. Airdrops themselves require experience and knowledge. They rely on a history of patience, siege, overthrow, breaking the siege, and victory.	He was imprisoned there and came out with the war. He was imprisoned and went to war Most of the 15 vehicles turned out to be support intelligence because they only have relationships with officers He used to be patient with the people who were numb to the last time before the street closed almost in the morning.	Artillery shelling and air strikes in different areas 🚨
77	Music, artists and cultural events	77_artist_artists_singing_art	['artist', 'artists', 'singing', 'art', 'ask', 'artistic', 'song', 'forgiveness', 'illness', 'famous', 'band', 'mohamed']	Musician Muhammad Al-Amin sings for the homeland at the Officers Club Theater. # Sudan_News_Network https://t.me/Sd_News_Network Musician Professor Muhammad Al-Amin presents a new lyrical text that expresses the feeling of homeland in his public concert, which he will perform tomorrow, Friday, from the stage of the Officers Club.	"Atni” Square witnesses cultural days and festivals called for by intellectuals, especially the artists’ initiatives that turned the place into a studio during the World Painting Day celebration. It is not surprising to find a group of artists drawing their paintings on the walls of shops. “ Atni” also witnessed a book selling market called “ Furnished"" at nominal prices in an attempt to spread culture. Tourists, foreigners and diplomats also flock to the market, in addition to its intellectual patrons."	The plastic artist, Abdel Majeed Afifi, explained that his connection to the place is due to the fact that he includes a number of plastic artists and friends, and he said that his private studio is in one of the shops in the market. #
78	Terrorism and extremist violence	78_terrorist_terrorism_crimes_extremist	['terrorist', 'terrorism', 'crimes', 'extremist', 'classify', 'heinous', 'militia', 'brigades', 'regime', 'crime', 'atrocities', 'acts']	Homelands cannot be bought or sold, and rights must be returned to their owners. A real stand must be taken against the countries that finance and support terrorism.	The minister said that terrorism has revealed gangs and criminal leaders in the region, demanding that it be resolved, that its areas of presence be precisely identified and besieged, and that its crossings be closed to paralyze its movement.	"He added, ""We believe that terrorism is a controlled creation of objective circumstances that are neither abnormal nor complicated for solutions."
79		79_water_station_wells_meters	['water', 'station', 'wells', 'meters', 'stations', 'dam', 'drinking', 'dams', 'renaissance', 'irrigation', 'authority', 'sea']	"The governor said that his government was unable to provide clean water to two million citizens, and added, ""Two days ago, 54 people were injured due to water pollution."" He pointed out that water sources from which citizens were drinking were closed, due to pollution reaching very high levels, and that water was provided by 27 trucks."	Pointing out that the state is in dire need of basic services so as not to cause friction in other water sources due to their scarcity.	Ismail, after his presidency of the Supreme Water Committee.. A tripartite meeting of the irrigation ministers of Egypt, Ethiopia, and Sudan the day after tomorrow.
80		80_god_battle_victory_conquest	['god', 'battle', 'victory', 'conquest', 'know', 'dear', 'near', 'martyrs', 'channel', 'victoryfromgodandconquestisnear', 'gods', 'let']	(If you find me carrying a weapon, arrest me) The Presidency considers the Sheikh of the Celestial Carpet Sudan Vision:	In the name of God, the most gracious, the most merciful -The liquidator is... Their intelligence... their agents... their control rooms... the hotbed of foreigners... their quantities of secrets... their strike vectors... a quantity of their leaders. The liquidator is their end. The Sudanese people may not know that the Al-Jili liquidator... is the end of the actual war and even the end of the Maheriya’s existence.	In the midst of this, the shameful militia shocked the people of Sudan with a new massacre in The village of Wad Al Noura, where the number of martyrs reached more than a hundred, defenseless and poor people who have no power or strength except in God alone.
81		81_foreigners_immigration_immigrants_citizenship	['foreigners', 'immigration', 'immigrants', 'citizenship', 'deportation', 'illegal', 'legal', 'residency', 'violators', 'status', 'deported', 'presence']	Franken confirmed that the police will continue in this manner and that officials from the Aliens Office will inform the detainees of the possibility of seeking asylum in Belgium before returning to their home country.	A trend to restrict the migration of cadres over a period of time not exceeding one year Attention:	A plan to restrict refugees “Build the wall” is Trump’s most repeated phrase during his election campaign, in reference to building a wall on the US-Mexican border, to prevent the influx of illegal immigrants. The United States’ withdrawal from the Immigration Charter is a continuation of Trump’s approach to restricting immigrants and limiting their entry into the United States. Since Trump took office, the United States has become an “unfavorable” destination for many immigrants, which is contrary to the history of the United States, which relied on immigrants to build the country’s infrastructure. Meanwhile, our northern neighbor, Canada, is moving in a completely opposite direction, after Prime Minister Justin Trudeau announced reducing the period required for immigrants to obtain a Canadian passport from 4 years to 3, in addition to accelerating immigration procedures.
82		82_rent_house_housing_rents	['rent', 'house', 'housing', 'rents', 'planning', 'residential', 'neighborhoods', 'urban', 'estate', 'eviction', 'localities', 'shambat']	Representatives in Kassala demand clarifications about the sale of lands.	The Deputy Commissioner and Executive Director of the locality, Mr. Muawiya Suleiman, called on the Bureau’s administration to implement productive plans and projects that move the weak segments from the cycle of poverty to the cycle of production and sufficiency, and to employ capabilities and resources to meet the challenges of poverty and displacement to the locality due to various reasons, praising the Bureau’s efforts in supporting the poor and needy. The Deputy Commissioner stressed the need for the Social Development Department to play its full role in inspecting the poor and needy, reaching orphans and widows, and addressing their issues, praising the efforts of the Zakat Office and the local Social Development Department in supporting the vulnerable segments of society.	A package of development decisions to facilitate citizens Higher directives to government agencies to conduct a price survey before expropriation (Housing) and (Real Estate) close the file of 280 thousand residential products in 2017 The Attorney General:
83		83_health_hospital_medical_center	['health', 'hospital', 'medical', 'center', 'hospitals', 'nursing', 'sector', 'federal', 'ministry', 'doctors', 'treatment', 'specialists']	Maamoun Hamida: Disagreements between the state and federal ministries of health.​ #Sudan_News_Network https://t.me/Sd_News_Network The Minister of Health of Khartoum State, Dr. Mamoun Hamida, revealed disagreements between his ministry and the Federal Ministry due to preventing doctors from immigrating and setting strict controls to limit it, at a time when Hamida acknowledged that the migration of medical personnel is causing (confusion) in the health sector. In his speech in a book issued by the Ministry, Hamida explained that Federal Health has made immigration difficult and restricted it through bilateral agreements with countries most in demand for medical personnel, pointing out that he is against the idea of ​​preventing doctors from immigrating, pointing out that it is an opportunity that doctors should not be deprived of, given that it helps them improve their financial conditions to confront the complex conditions of life. . # Al-Sudani_Newspaper​	The minister said that the migration of health personnel and doctors will remain a permanent challenge, but his ministry has developed a plan to deal with it and reduce its effects, by graduating cadres for ourselves and other countries in need of Sudanese medical personnel, and by concluding agreements and arrangements with these countries for training and scholarships that benefit health personnel and doctors at home and are kept at the same time.	Abu Garda: The migration of health personnel and doctors will remain a permanent challenge #Sudan_News_Network https://t.me/Sd_News_Network The Federal Ministry of Health acknowledged that the migration of health personnel and doctors will remain a permanent challenge.
