Topic	Words	Frequency	Timestamp
113	honey, strains, wild, bet, accurate	2	2019-04-12 06:58:19.018348616
121	detected, airspace, meteorology, temperatures, violations	1	2019-04-12 06:58:19.018348616
134	sabotage, infiltrating, secured, protesters, demonstrators	3	2019-04-12 06:58:19.018348616
140	dispersed, store, owners, looted, went	1	2019-04-12 06:58:19.018348616
141	sheikhs, cards, isolation, demonstrators, affiliated	1	2019-04-12 06:58:19.018348616
143	bashir, 1989, kilos, push, laundering	2	2019-04-12 06:58:19.018348616
164	inquiries, 249918984706, orders, delivery, best	4	2019-04-12 06:58:19.018348616
166	tyranny, coup, tragedies, thirty, racism	3	2019-04-12 06:58:19.018348616
172	sharia, performed, deprived, squares, sadiq	2	2019-04-12 06:58:19.018348616
174	2019, news, april, headlines, 27	2	2019-04-12 06:58:19.018348616
220	2019, headlines, processions, newspapers, hand	1	2019-04-12 06:58:19.018348616
243	symbols, prison, house, regime, arrest	1	2019-04-12 06:58:19.018348616
248	infantry, division, commander, 22nd, brigade	1	2019-04-12 06:58:19.018348616
252	salva, kiir, unite, gosh, agar	1	2019-04-12 06:58:19.018348616
253	al, discover, discovered, ibn, friend	1	2019-04-12 06:58:19.018348616
254	faces, wasting, heroism, traitor, playing	2	2019-04-12 06:58:19.018348616
272	latest, application, link, saqwl, follow	1	2019-04-12 06:58:19.018348616
-1	military, sit, freedom, change, hemedti	86	2019-05-12 13:09:47.366972472
0	officers, non, notification, taiba, awliya	1	2019-05-12 13:09:47.366972472
5	admitted, barricades, revolutionaries, perpetrators, attacking	1	2019-05-12 13:09:47.366972472
6	eritrean, level, arrives, hemedti, important	1	2019-05-12 13:09:47.366972472
12	kill, given, old, victims, young	1	2019-05-12 13:09:47.366972472
13	temptations, hidden, prayers, minute, willing	2	2019-05-12 13:09:47.366972472
16	freedom, change, appointing, parliament, congress	5	2019-05-12 13:09:47.366972472
23	paves, fair, elections, goal, youssef	1	2019-05-12 13:09:47.366972472
25	lookout, monitored, prepare, asylum, hemedti	1	2019-05-12 13:09:47.366972472
35	negotiation, communications, process, regarding, military	1	2019-05-12 13:09:47.366972472
36	revolution, hurry, goals, freedom, situations	8	2019-05-12 13:09:47.366972472
38	anticipating, loss, lack, accountability, rule	1	2019-05-12 13:09:47.366972472
46	trafficking, human, eritrean, victims, influential	3	2019-05-12 13:09:47.366972472
52	improving, homeland, balanced, unemployment, solid	1	2019-05-12 13:09:47.366972472
55	piece, sure, letters, ishaq, learned	1	2019-05-12 13:09:47.366972472
66	nationalities, exceeds, annual, estimated, budget	3	2019-05-12 13:09:47.366972472
68	sit, square, prayer, transformation, massive	2	2019-05-12 13:09:47.366972472
71	bashir, graduated, studies, 55, class	1	2019-05-12 13:09:47.366972472
75	proceed, laying, salvation, souls, martyrs	1	2019-05-12 13:09:47.366972472
77	picture, societal, professional, groups, various	1	2019-05-12 13:09:47.366972472
85	2019, newspapers, headlines, attention, published	2	2019-05-12 13:09:47.366972472
87	skin, combined, demands, wrote, livelihood	2	2019-05-12 13:09:47.366972472
94	warn, repercussions, export, experts, stopping	1	2019-05-12 13:09:47.366972472
96	dealings, discipline, satisfaction, harmony, recent	1	2019-05-12 13:09:47.366972472
98	exporting, stops, ethiopia, electricity, sharia	2	2019-05-12 13:09:47.366972472
104	muslims, bin, badr, battle, seventy	7	2019-05-12 13:09:47.366972472
113	honey, strains, wild, bet, accurate	2	2019-05-12 13:09:47.366972472
116	libyan, coast, ayoub, accord, haftar	2	2019-05-12 13:09:47.366972472
120	evade, disavowed, painting, liquor, khader	1	2019-05-12 13:09:47.366972472
134	sit, barricades, preacher, square, respect	4	2019-05-12 13:09:47.366972472
152	italian, mediterranean, migrant, migrants, fine	2	2019-05-12 13:09:47.366972472
159	deployed, unamid, mission, beginning, darfur	2	2019-05-12 13:09:47.366972472
164	inquiries, 249918984706, orders, delivery, best	2	2019-05-12 13:09:47.366972472
166	elections, putting, early, abort, horse	2	2019-05-12 13:09:47.366972472
169	polarization, reaches, global, escape, solution	1	2019-05-12 13:09:47.366972472
180	applies, ticket, buses, chamber, travel	1	2019-05-12 13:09:47.366972472
186	deter, stationed, brave, bridges, thank	1	2019-05-12 13:09:47.366972472
218	tax, anticipating, zakat, eid, like	2	2019-05-12 13:09:47.366972472
220	2019, headlines, vicinity, missions, sit	1	2019-05-12 13:09:47.366972472
224	closes, network, jazeera, office, al	1	2019-05-12 13:09:47.366972472
243	ruled, symbols, prisons, rescue, 30	1	2019-05-12 13:09:47.366972472
-1	decline, al, dollar, change, military	72	2019-07-12 01:32:44.064220176
1	professors, universities, boarding, sir, students	7	2019-07-12 01:32:44.064220176
3	premier, cup, shendi, stadium, band	2	2019-07-12 01:32:44.064220176
4	yemen, coalition, yemeni, emirati, uae	3	2019-07-12 01:32:44.064220176
6	addis, ababa, ethiopian, jibril, constitutional	10	2019-07-12 01:32:44.064220176
7	non, epidemic, cases, suspected, controlled	1	2019-07-12 01:32:44.064220176
8	israel, jews, israeli, agents, heart	4	2019-07-12 01:32:44.064220176
13	mind, distinguished, accept, talk, say	1	2019-07-12 01:32:44.064220176
16	july, headquarters, held, party, legislative	1	2019-07-12 01:32:44.064220176
23	expertise, party, accuse, succeed, participants	3	2019-07-12 01:32:44.064220176
27	wisdom, bullet, undermine, planned, single	1	2019-07-12 01:32:44.064220176
28	moneim, ababa, suleiman, addis, gabriel	1	2019-07-12 01:32:44.064220176
31	carrier, company, airlines, bakri, boards	2	2019-07-12 01:32:44.064220176
34	rain, rejoice, torrents, floods, dawn	1	2019-07-12 01:32:44.064220176
35	helps, pass, appropriate, approved, seek	1	2019-07-12 01:32:44.064220176
36	revolution, guarding, gift, direction, protecting	1	2019-07-12 01:32:44.064220176
37	islamist, karmuk, canceled, reference, sadiq	2	2019-07-12 01:32:44.064220176
38	corruption, arranging, deals, knowing, complain	2	2019-07-12 01:32:44.064220176
43	dollar, inflation, indicators, rate, rates	1	2019-07-12 01:32:44.064220176
45	kept, contains, drugs, aspects, negative	1	2019-07-12 01:32:44.064220176
46	raided, hotel, ethiopian, wanted, informed	1	2019-07-12 01:32:44.064220176
49	almighty, god, insults, sight, ease	1	2019-07-12 01:32:44.064220176
56	screen, mobile, discover, disappeared, belongs	2	2019-07-12 01:32:44.064220176
58	worse, bara, condition, evidence, previous	2	2019-07-12 01:32:44.064220176
65	statistics, professionals, responsible, holds, doctors	1	2019-07-12 01:32:44.064220176
68	approach, exclusion, hopes, revolutionary, document	2	2019-07-12 01:32:44.064220176
81	tracking, tight, placed, completed, room	1	2019-07-12 01:32:44.064220176
84	maulana, lawyer, amin, appointed, defend	1	2019-07-12 01:32:44.064220176
87	450, cancel, issuance, basis, operating	1	2019-07-12 01:32:44.064220176
88	gifts, friendly, correct, grants, terms	1	2019-07-12 01:32:44.064220176
89	paving, contributes, offer, enter, signing	1	2019-07-12 01:32:44.064220176
95	hall, greater, legislative, governors, kadugli	1	2019-07-12 01:32:44.064220176
98	sit, dispersing, jibril, addis, revolutionary	1	2019-07-12 01:32:44.064220176
102	respond, accusations, ready, team, defense	1	2019-07-12 01:32:44.064220176
134	gateway, planned, wish, sit, break	1	2019-07-12 01:32:44.064220176
143	vehicle, bashir, prestige, president, guarding	2	2019-07-12 01:32:44.064220176
150	granted, 13, private, companies, said	1	2019-07-12 01:32:44.064220176
161	professionals, failed, association, continuation, negotiations	1	2019-07-12 01:32:44.064220176
164	inquiries, 249918984706, orders, delivery, best	1	2019-07-12 01:32:44.064220176
166	represented, excluded, negotiation, negotiating, early	1	2019-07-12 01:32:44.064220176
191	hotel, negotiations, continue, return, agreement	1	2019-07-12 01:32:44.064220176
193	kober, transported, convicted, inmates, attend	1	2019-07-12 01:32:44.064220176
253	friend, seen, asked, abu, said	1	2019-07-12 01:32:44.064220176
-1	bashir, al, hamdok, oath, takes	61	2019-08-11 07:44:12.412844032
3	adults, team, olympic, seventh, championship	2	2019-08-11 07:44:12.412844032
5	candidates, bashir, names, al, ghandour	6	2019-08-11 07:44:12.412844032
8	bus, guarantor, israeli, surprises, ticket	3	2019-08-11 07:44:12.412844032
16	mistake, excluding, advertisement, shameless, shout	2	2019-08-11 07:44:12.412844032
21	britain, upgrade, salamat, prevented, charity	1	2019-08-11 07:44:12.412844032
23	revolution, methodology, harms, chances, denies	3	2019-08-11 07:44:12.412844032
26	river, berber, open, nile, governor	2	2019-08-11 07:44:12.412844032
30	pound, deterioration, deficit, exchange, imports	1	2019-08-11 07:44:12.412844032
31	airlines, german, flights, arman, announces	1	2019-08-11 07:44:12.412844032
35	rift, heal, try, contain, bases	1	2019-08-11 07:44:12.412844032
36	counter, serves, revolutionary, revolution, hemedti	2	2019-08-11 07:44:12.412844032
39	patriotism, highlight, essam, segment, sense	1	2019-08-11 07:44:12.412844032
43	economist, replacing, determine, currency, financial	1	2019-08-11 07:44:12.412844032
58	praised, categories, portfolio, nahud, distinguished	1	2019-08-11 07:44:12.412844032
59	deprives, imported, channels, revenues, noted	1	2019-08-11 07:44:12.412844032
60	documents, objectives, known, include, money	1	2019-08-11 07:44:12.412844032
64	mosquito, man, bite, sharing, hesitate	1	2019-08-11 07:44:12.412844032
67	id, story, facebook, weather, moderate	1	2019-08-11 07:44:12.412844032
79	dams, unit, water, harvesting, irrigation	2	2019-08-11 07:44:12.412844032
82	berber, river, open, localities, accumulated	1	2019-08-11 07:44:12.412844032
85	2019, newspapers, published, prominent, headlines	1	2019-08-11 07:44:12.412844032
86	holiday, occasion, corresponding, prophet, stronger	1	2019-08-11 07:44:12.412844032
87	zero, poverty, marginal, jobs, unemployment	1	2019-08-11 07:44:12.412844032
88	benefiting, economy, economic, finance, measures	3	2019-08-11 07:44:12.412844032
101	plant, forest, corporation, kordofan, television	1	2019-08-11 07:44:12.412844032
111	liver, salamat, charitable, operation, society	1	2019-08-11 07:44:12.412844032
113	honey, strains, wild, bet, accurate	2	2019-08-11 07:44:12.412844032
149	blame, disastrous, mosquitoes, ended, makes	1	2019-08-11 07:44:12.412844032
152	rescues, mediterranean, migrants, ship, joined	1	2019-08-11 07:44:12.412844032
164	inquiries, 249918984706, orders, delivery, best	4	2019-08-11 07:44:12.412844032
177	man, rule, heathrow, betrayed, camels	3	2019-08-11 07:44:12.412844032
193	prison, mosquitoes, bite, kober, complainant	1	2019-08-11 07:44:12.412844032
209	27, 2019, intelligence, latest, spokesman	1	2019-08-11 07:44:12.412844032
218	sharia, zakat, regulations, action, patriotic	1	2019-08-11 07:44:12.412844032
229	burned, relation, criticize, scourges, problem	1	2019-08-11 07:44:12.412844032
243	kober, mosquito, honored, wall, strongly	1	2019-08-11 07:44:12.412844032
257	contacted, competition, shameless, apply, understanding	1	2019-08-11 07:44:12.412844032
259	birth, upgrade, peripheral, hearing, helping	2	2019-08-11 07:44:12.412844032
-1	al, corruption, hamdok, sit, reveals	111	2019-09-10 13:55:40.761467888
0	nuba, mountains, massacres, continue, blue	1	2019-09-10 13:55:40.761467888
1	education, colleges, universities, girls, schools	12	2019-09-10 13:55:40.761467888
2	detailed, organizations, program, settling, agriculture	2	2019-09-10 13:55:40.761467888
3	team, football, walaa, sports, atbara	4	2019-09-10 13:55:40.761467888
4	partner, syria, turkish, confuse, potential	6	2019-09-10 13:55:40.761467888
5	newspaper, newspapers, headlines, 2019, al	12	2019-09-10 13:55:40.761467888
7	cholera, cases, isolation, 67, combined	4	2019-09-10 13:55:40.761467888
11	iron, equal, paths, negotiation, woman	2	2019-09-10 13:55:40.761467888
14	pursues, aroma, managers, freeing, tayeb	3	2019-09-10 13:55:40.761467888
16	decide, candidates, doubt, eliminating, animal	2	2019-09-10 13:55:40.761467888
17	values, cross, red, journalists, crescent	1	2019-09-10 13:55:40.761467888
20	coups, occurrence, postpone, deng, intend	1	2019-09-10 13:55:40.761467888
23	agenda, upcoming, complaints, television, mining	1	2019-09-10 13:55:40.761467888
25	sidelines, york, assembly, meetings, nations	1	2019-09-10 13:55:40.761467888
26	festival, artillery, quoz, acting, river	1	2019-09-10 13:55:40.761467888
33	capabilities, unlicensed, detect, locally, technologies	4	2019-09-10 13:55:40.761467888
34	soil, rains, fact, fall, prevent	1	2019-09-10 13:55:40.761467888
43	retirement, engineers, strengthen, holding, fund	1	2019-09-10 13:55:40.761467888
45	drug, shipment, container, addiction, pills	7	2019-09-10 13:55:40.761467888
46	98, directed, habila, harmful, trafficking	2	2019-09-10 13:55:40.761467888
48	african, sanctions, union, reinforced, canceled	1	2019-09-10 13:55:40.761467888
50	latest, follow, link, telegram, news	2	2019-09-10 13:55:40.761467888
52	nomads, segments, warning, pay, attention	1	2019-09-10 13:55:40.761467888
55	atta, yasser, al, damazin, abdul	1	2019-09-10 13:55:40.761467888
65	admits, symptoms, justification, laboratories, wage	4	2019-09-10 13:55:40.761467888
66	sanctions, transition, translated, accurately, 2005	1	2019-09-10 13:55:40.761467888
68	experience, calling, unique, proud, similar	1	2019-09-10 13:55:40.761467888
71	shame, gains, achievement, limit, obtained	1	2019-09-10 13:55:40.761467888
72	root, publicly, belief, speaking, hearing	1	2019-09-10 13:55:40.761467888
73	qatar, peace, stability, qatari, achieve	3	2019-09-10 13:55:40.761467888
74	hand, does, organizations, dont, come	1	2019-09-10 13:55:40.761467888
77	highlights, art, exhibition, london, influence	1	2019-09-10 13:55:40.761467888
79	sterilize, lake, plant, limit, minute	2	2019-09-10 13:55:40.761467888
87	incentive, wages, availability, incentives, attributed	1	2019-09-10 13:55:40.761467888
88	successes, identify, organize, academy, map	1	2019-09-10 13:55:40.761467888
90	expensive, cheap, saluted, sacrifices, preserve	1	2019-09-10 13:55:40.761467888
95	rashad, arrives, trip, ismail, kordofan	1	2019-09-10 13:55:40.761467888
105	tear, demonstrators, gas, firing, protesters	1	2019-09-10 13:55:40.761467888
109	conventions, commitment, migration, managing, manner	1	2019-09-10 13:55:40.761467888
113	honey, strains, wild, bet, accurate	3	2019-09-10 13:55:40.761467888
115	wars, sustainable, organizations, disasters, concerted	1	2019-09-10 13:55:40.761467888
126	relatives, friends, hajj, distribute, opportunities	1	2019-09-10 13:55:40.761467888
127	terrorists, countryside, left, weapons, al	1	2019-09-10 13:55:40.761467888
134	burial, sit, bodies, dispersal, dispersed	2	2019-09-10 13:55:40.761467888
141	conditional, dark, aisha, agenda, wahid	1	2019-09-10 13:55:40.761467888
143	prosecuting, businessman, youssef, receive, reveals	1	2019-09-10 13:55:40.761467888
150	liquidated, package, heading, investment, opportunities	2	2019-09-10 13:55:40.761467888
159	unamid, impose, regarding, government, mission	1	2019-09-10 13:55:40.761467888
161	mistake, paying, professionals, participating, association	1	2019-09-10 13:55:40.761467888
164	inquiries, 249918984706, orders, delivery, best	8	2019-09-10 13:55:40.761467888
167	isolation, akram, shortage, room, dr	3	2019-09-10 13:55:40.761467888
202	ministries, compatible, explicit, electronically, restructuring	3	2019-09-10 13:55:40.761467888
210	technologies, observatory, sultanate, gulf, fourth	1	2019-09-10 13:55:40.761467888
220	2019, headlines, newspapers, issued, political	3	2019-09-10 13:55:40.761467888
-1	al, bashir, court, hamdok, regime	236	2019-10-10 20:07:09.110091744
0	legacy, robbery, satellite, using, revolutionary	1	2019-10-10 20:07:09.110091744
1	university, education, students, curricula, certificate	28	2019-10-10 20:07:09.110091744
2	hunger, food, eliminating, eradicate, acknowledged	5	2019-10-10 20:07:09.110091744
3	stadium, al, hilal, atbara, defeats	8	2019-10-10 20:07:09.110091744
4	syrian, syria, jordanian, highness, gulf	20	2019-10-10 20:07:09.110091744
5	popularity, preacher, bashir, 2019, newspaper	4	2019-10-10 20:07:09.110091744
6	upcoming, palace, map, ethiopia, audit	2	2019-10-10 20:07:09.110091744
7	cholera, akram, mosquitoes, cases, prevention	3	2019-10-10 20:07:09.110091744
8	jews, endowments, israel, palestinian, israeli	4	2019-10-10 20:07:09.110091744
10	benghazi, marriage, annual, kidnapping, tragedy	2	2019-10-10 20:07:09.110091744
11	reduce, providing, 2030, empower, communities	2	2019-10-10 20:07:09.110091744
13	stones, worship, looking, professionals, association	1	2019-10-10 20:07:09.110091744
16	electoral, greed, race, noteworthy, democracy	5	2019-10-10 20:07:09.110091744
18	syrian, territory, aggression, violation, law	1	2019-10-10 20:07:09.110091744
19	american, appoint, threaten, trump, representatives	3	2019-10-10 20:07:09.110091744
23	hamdok, translation, centre, akhbar, forged	9	2019-10-10 20:07:09.110091744
24	demand, zamzam, stability, camp, displaced	2	2019-10-10 20:07:09.110091744
26	bureau, river, acting, network, electronic	2	2019-10-10 20:07:09.110091744
27	ain, countryside, protests, aggression, turkish	1	2019-10-10 20:07:09.110091744
31	horizons, products, opened, airport, infrastructure	1	2019-10-10 20:07:09.110091744
32	nationality, jews, citizenship, extended, invitation	1	2019-10-10 20:07:09.110091744
34	wadi, arrested, al, floods, rains	1	2019-10-10 20:07:09.110091744
36	arbitrarily, unless, dismissed, revolutionary, revolution	1	2019-10-10 20:07:09.110091744
38	closes, case, bring, witnesses, judges	5	2019-10-10 20:07:09.110091744
40	mining, development, programs, adherence, contracts	1	2019-10-10 20:07:09.110091744
42	resigned, leak, exempting, 120, ghandour	1	2019-10-10 20:07:09.110091744
43	monetary, supply, exchange, inflation, 77	2	2019-10-10 20:07:09.110091744
46	chance, trafficking, suspend, completes, crop	1	2019-10-10 20:07:09.110091744
56	computer, knowledge, facebook, posts, using	4	2019-10-10 20:07:09.110091744
58	reconsider, demands, appoint, limit, minute	1	2019-10-10 20:07:09.110091744
60	budget, 2012, finance, sewage, storms	3	2019-10-10 20:07:09.110091744
65	arises, kadugli, forgery, upgrade, facility	2	2019-10-10 20:07:09.110091744
68	quota, considered, diversity, workshop, abroad	1	2019-10-10 20:07:09.110091744
71	paper, promote, papers, citizenship, journalists	1	2019-10-10 20:07:09.110091744
72	court, criminal, 2003, crimes, genocide	4	2019-10-10 20:07:09.110091744
74	bit, hands, dont, come, didnt	1	2019-10-10 20:07:09.110091744
79	mobilize, renaissance, fight, dam, million	1	2019-10-10 20:07:09.110091744
82	housing, dalami, towers, creation, estate	3	2019-10-10 20:07:09.110091744
85	newspapers, 2019, prominent, published, headlines	1	2019-10-10 20:07:09.110091744
86	divine, religion, values, sudanese, religious	1	2019-10-10 20:07:09.110091744
87	wages, adeeb, gap, bridge, markets	2	2019-10-10 20:07:09.110091744
89	arbitrarily, diplomats, settle, dismissed, status	3	2019-10-10 20:07:09.110091744
91	juba, negotiations, peace, fairly, mechanism	3	2019-10-10 20:07:09.110091744
93	pharmacies, adhere, supply, medicine, pharmaceutical	3	2019-10-10 20:07:09.110091744
95	rashad, kordofan, nuba, ismail, hamid	1	2019-10-10 20:07:09.110091744
101	rashad, radio, corporation, kordofan, television	6	2019-10-10 20:07:09.110091744
102	trump, walls, biden, americans, republican	6	2019-10-10 20:07:09.110091744
103	tribe, accompanying, reconciliation, burhan, witness	1	2019-10-10 20:07:09.110091744
105	demonstrators, priorities, burhan, prosecutor, walaa	1	2019-10-10 20:07:09.110091744
106	severely, besieged, religion, lifting, sovereign	1	2019-10-10 20:07:09.110091744
109	kabashi, headed, representative, othman, november	1	2019-10-10 20:07:09.110091744
112	libyan, illegal, libya, immigration, stranded	2	2019-10-10 20:07:09.110091744
113	honey, strains, wild, bet, quality	4	2019-10-10 20:07:09.110091744
120	bashir, extradition, reconcile, nabil, adeeb	1	2019-10-10 20:07:09.110091744
134	sit, dispersing, dispersal, legally, acceptable	8	2019-10-10 20:07:09.110091744
139	insurance, ways, develop, discusses, medical	1	2019-10-10 20:07:09.110091744
141	walaa, pushes, faki, winning, prize	3	2019-10-10 20:07:09.110091744
143	bashir, court, nour, albashir, wahed	8	2019-10-10 20:07:09.110091744
145	list, terrorism, remove, terrorist, sacrifices	3	2019-10-10 20:07:09.110091744
150	sectors, investment, reform, policies, feature	2	2019-10-10 20:07:09.110091744
151	subsidies, intention, lift, bread, currently	1	2019-10-10 20:07:09.110091744
153	radical, transportation, solutions, train, burhan	2	2019-10-10 20:07:09.110091744
159	unamid, arranges, regionalism, commissions, dispersing	1	2019-10-10 20:07:09.110091744
162	completes, winter, preparations, season, start	1	2019-10-10 20:07:09.110091744
164	inquiries, 249918984706, orders, delivery, best	5	2019-10-10 20:07:09.110091744
169	interests, principles, moves, seeks, values	1	2019-10-10 20:07:09.110091744
172	republican, thought, religious, believe, sheikh	3	2019-10-10 20:07:09.110091744
174	2019, news, november, saturday, headlines	1	2019-10-10 20:07:09.110091744
180	roads, trucks, reduces, maintenance, malfunctions	1	2019-10-10 20:07:09.110091744
182	respect, siddiq, undersecretary, nations, united	2	2019-10-10 20:07:09.110091744
188	adopt, pillar, sultanate, keen, policies	1	2019-10-10 20:07:09.110091744
191	email, send, draft, review, told	1	2019-10-10 20:07:09.110091744
192	tells, migrant, journey, syrian, refugee	1	2019-10-10 20:07:09.110091744
201	advertisement, dam, renaissance, methods, kiir	1	2019-10-10 20:07:09.110091744
203	funeral, obeid, held, cemetery, gengueid	1	2019-10-10 20:07:09.110091744
208	intended, bashir, sanctions, regime, european	1	2019-10-10 20:07:09.110091744
220	2019, headlines, october, political, saturday	5	2019-10-10 20:07:09.110091744
221	imbalances, correcting, identified, revenues, monetary	2	2019-10-10 20:07:09.110091744
222	tourism, understanding, memorandum, travel, tourist	1	2019-10-10 20:07:09.110091744
235	arabian, low, india, possibility, moving	1	2019-10-10 20:07:09.110091744
243	exile, tourism, prison, told, authority	1	2019-10-10 20:07:09.110091744
245	obligation, eating, meat, kilograms, lentils	1	2019-10-10 20:07:09.110091744
252	salva, kiir, exciting, tripartite, imprisonment	2	2019-10-10 20:07:09.110091744
272	latest, application, link, follow, telegram	4	2019-10-10 20:07:09.110091744
276	canada, suitable, certificates, submitted, search	1	2019-10-10 20:07:09.110091744
277	forestry, machine, cutting, extension, owners	1	2019-10-10 20:07:09.110091744
281	adhya, sponsorship, initiatives, locality, executive	1	2019-10-10 20:07:09.110091744
-1	al, hajj, arrest, explosion, ali	167	2019-11-10 02:18:37.458715584
0	corps, workshop, gathering, winning, artillery	3	2019-11-10 02:18:37.458715584
1	education, students, examinations, university, exam	30	2019-11-10 02:18:37.458715584
2	55, euros, worth, provides, european	2	2019-11-10 02:18:37.458715584
3	stadium, hilal, al, team, defeats	5	2019-11-10 02:18:37.458715584
4	qatari, prince, mahdi, iranian, mohammed	11	2019-11-10 02:18:37.458715584
5	honey, bud, object, piece, worsened	2	2019-11-10 02:18:37.458715584
7	processes, mosquito, net, inventory, registration	1	2019-11-10 02:18:37.458715584
8	jordan, palestinian, provocative, destabilizing, al	2	2019-11-10 02:18:37.458715584
9	exploded, bomb, countryside, car, town	1	2019-11-10 02:18:37.458715584
10	slander, arabia, saudi, women, sexual	1	2019-11-10 02:18:37.458715584
12	120, exceeded, confrontations, injury, resulted	1	2019-11-10 02:18:37.458715584
13	salvation, adhere, rule, god, did	1	2019-11-10 02:18:37.458715584
16	composition, governors, dissolution, comment, legislative	7	2019-11-10 02:18:37.458715584
17	2030, istanbul, hepatitis, jordan, charity	1	2019-11-10 02:18:37.458715584
19	proposal, undertaken, donald, moves, accepted	1	2019-11-10 02:18:37.458715584
21	pharmacists, evacuation, alert, hospitals, doctors	1	2019-11-10 02:18:37.458715584
23	akram, akhir, altoum, lahza, prosecute	5	2019-11-10 02:18:37.458715584
25	refugees, hosting, commissioner, communities, high	4	2019-11-10 02:18:37.458715584
26	breastfeeding, allowance, employees, male, river	4	2019-11-10 02:18:37.458715584
28	ethiopian, refugees, community, competent, 40	3	2019-11-10 02:18:37.458715584
29	2013, counterfeiting, professionalism, jumaa, cell	1	2019-11-10 02:18:37.458715584
30	loan, customers, resignation, bank, surprise	2	2019-11-10 02:18:37.458715584
31	aviation, shameless, airports, train, dismissal	1	2019-11-10 02:18:37.458715584
32	decent, mahdi, bureau, systems, umma	1	2019-11-10 02:18:37.458715584
33	phenomenon, uniting, firmly, coordinating, eliminating	3	2019-11-10 02:18:37.458715584
34	stock, sufficient, rain, died, latest	1	2019-11-10 02:18:37.458715584
35	transform, truce, final, directs, ministers	2	2019-11-10 02:18:37.458715584
36	struggles, minds, changed, freedom, mean	2	2019-11-10 02:18:37.458715584
37	describing, orders, hajj, personnel, leader	2	2019-11-10 02:18:37.458715584
39	abolition, category, adopted, fao, forms	1	2019-11-10 02:18:37.458715584
40	allocate, minerals, revenues, trend, mining	2	2019-11-10 02:18:37.458715584
43	stabilize, rate, exchange, measures, minister	1	2019-11-10 02:18:37.458715584
46	detain, traffickers, trafficking, human, languages	3	2019-11-10 02:18:37.458715584
48	available, receive, africa, african, union	2	2019-11-10 02:18:37.458715584
49	supplied, mislead, misleading, written, plans	1	2019-11-10 02:18:37.458715584
51	energy, hammad, river, 250, estimated	1	2019-11-10 02:18:37.458715584
53	quotas, decide, exporters, petroleum, stock	2	2019-11-10 02:18:37.458715584
58	prepared, ready, hand, civilian, position	1	2019-11-10 02:18:37.458715584
60	deceased, budget, wonders, spending, audit	2	2019-11-10 02:18:37.458715584
62	2019, newspapers, 21, headlines, november	1	2019-11-10 02:18:37.458715584
70	immigration, file, illegal, prevent, representative	1	2019-11-10 02:18:37.458715584
71	advancing, journalists, youssef, stresses, progress	1	2019-11-10 02:18:37.458715584
77	artist, caravan, singing, essam, sponsored	1	2019-11-10 02:18:37.458715584
81	vehicle, deport, implementing, decision, citizens	1	2019-11-10 02:18:37.458715584
84	cooper, prison, hajj, ali, arrest	3	2019-11-10 02:18:37.458715584
85	2019, headlines, newspapers, prominent, morning	3	2019-11-10 02:18:37.458715584
87	allowance, promoted, workers, encourage, salaries	4	2019-11-10 02:18:37.458715584
94	store, appointment, governors, affiliated, energy	2	2019-11-10 02:18:37.458715584
97	word, truth, targeting, media, national	1	2019-11-10 02:18:37.458715584
101	corporation, television, radio, appointed, west	3	2019-11-10 02:18:37.458715584
102	piece, gift, wall, berlin, trump	1	2019-11-10 02:18:37.458715584
112	libyan, evacuated, gangs, illegal, torture	1	2019-11-10 02:18:37.458715584
113	honey, strains, wild, bet, quality	4	2019-11-10 02:18:37.458715584
116	haftar, tripoli, embargo, libya, violated	6	2019-11-10 02:18:37.458715584
134	sit, withdrawn, dispersal, dispersed, exempting	3	2019-11-10 02:18:37.458715584
138	party, bashir, choices, slander, unfair	2	2019-11-10 02:18:37.458715584
141	arrest, ali, congress, hajj, identical	3	2019-11-10 02:18:37.458715584
143	test, mahdi, massacre, facing, abdul	1	2019-11-10 02:18:37.458715584
147	emigrate, believed, lies, addressing, solution	1	2019-11-10 02:18:37.458715584
150	subsidies, happen, lifting, approval, goods	1	2019-11-10 02:18:37.458715584
151	sesame, imported, 600, day, gedaref	1	2019-11-10 02:18:37.458715584
153	transporting, train, transport, free, days	1	2019-11-10 02:18:37.458715584
155	route, handing, road, roads, bridges	1	2019-11-10 02:18:37.458715584
163	rashad, slogan, yacoub, generations, flows	1	2019-11-10 02:18:37.458715584
164	inquiries, 249918984706, orders, delivery, best	5	2019-11-10 02:18:37.458715584
166	planning, warrants, 1989, coup, freedom	1	2019-11-10 02:18:37.458715584
169	optimistic, roots, resolved, achieved, order	1	2019-11-10 02:18:37.458715584
172	prophet, celebration, religious, mosque, participates	2	2019-11-10 02:18:37.458715584
180	bus, chamber, value, transport, travel	1	2019-11-10 02:18:37.458715584
186	commanders, deputies, officers, non, pension	1	2019-11-10 02:18:37.458715584
191	inclusive, limit, sign, reconciliation, damage	1	2019-11-10 02:18:37.458715584
195	ago, months, khartoum, source, omdurman	1	2019-11-10 02:18:37.458715584
196	stones, jumaa, claiming, precious, simple	1	2019-11-10 02:18:37.458715584
202	update, outcomes, match, educational, job	1	2019-11-10 02:18:37.458715584
206	curricula, withdrawn, ask, indictment, reasonable	3	2019-11-10 02:18:37.458715584
220	2019, headlines, november, political, newspaper	4	2019-11-10 02:18:37.458715584
